precipitation,temp_max,temp_min,wind,weather
10.9,10.6,2.8,4.5,rain
0.8,11.7,7.2,2.3,rain
20.3,12.2,5.6,4.7,rain
1.3,8.9,2.8,6.1,rain
2.5,4.4,2.2,2.2,rain
0.0,7.2,2.8,2.3,rain
0.0,10.0,2.8,2.0,sun
4.3,9.4,5.0,3.4,rain
1.0,6.1,0.6,3.4,rain
0.0,6.1,-1.1,5.1,sun
0.0,6.1,-1.7,1.9,sun
0.0,5.0,-2.8,1.3,sun
4.1,4.4,0.6,5.3,snow
5.3,1.1,-3.3,3.2,snow
2.5,1.7,-2.8,5.0,snow
8.1,3.3,0.0,5.6,snow
19.8,0.0,-2.8,5.0,snow
15.2,-1.1,-2.8,1.6,snow
13.5,7.2,-1.1,2.3,snow
3.0,8.3,3.3,8.2,rain
6.1,6.7,2.2,4.8,rain
0.0,8.3,1.1,3.6,rain
8.6,10.0,2.2,5.1,rain
8.1,8.9,4.4,5.4,rain
4.8,8.9,1.1,4.8,rain
0.0,6.7,0.6,2.2,rain
27.7,9.4,3.9,4.5,rain
3.6,8.3,6.1,5.1,rain
1.8,9.4,6.1,3.9,rain
13.5,8.9,3.3,2.7,rain
0.0,8.3,1.7,2.6,sun
0.0,14.4,2.2,5.3,sun
0.0,15.6,5.0,4.3,sun
0.0,13.9,1.7,2.9,sun
0.0,16.1,1.7,5.0,sun
0.3,15.6,7.8,5.3,rain
2.8,10.0,5.0,2.7,rain
2.5,11.1,7.8,2.4,rain
2.5,12.8,6.7,3.0,rain
0.8,8.9,5.6,3.4,rain
1.0,8.3,5.0,1.3,rain
11.4,7.2,4.4,1.4,rain
2.5,6.7,1.1,3.1,rain
1.8,7.2,3.3,2.1,rain
17.3,10.0,4.4,3.4,rain
6.4,6.7,3.9,8.1,rain
